Country/Region/Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Afghanistan,,,,,,4,7,89,254,405,40,56,64,40,56,91,198,230,145,92,9,149,124,,,90,230,80,287,360,352,382,294,236,368,153,287,561,1046,2152,1871,1411,,,,,,,,,,,34,,,35,3,41,150,344,377,661,523,235,288,116,174,252,322,396,240,16403
African Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,9,,10,,,,,2,,2,,,0,2,,78
Albania,20,10,11,20,22,132,98,42,47,129,57,74,42,12,8,140,74,163,265,297,250,332,134,104,134,53,5,7,5,,,,,,,,,,,,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,3,5,1,2771
Algeria,,,,,,,,,,,,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1048,1264,1823,1342,1388,1357,701,659,368,146,369,320,455,734,1035,20,20,182,296,83,37,98,370,403,540,248,195,242,159,340,507,1517,1070,835,1133,661,362,710,906,2911,1139,1291,164,661,32383
Amal (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
ANC (South Africa)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Angola,,,,,,,,,,,,,,,,,,,,,,,,,1,241,181,105,146,111,153,241,381,574,479,528,703,1187,965,152,141,,,122,111,1,44,7,150,358,147,156,148,48,8,39,7,31,29,20,,,,30,2,47,152,110,272,169,51,8544
Anti-Castro rebels (Cuba)*,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Argentina,75,445,38,4,5,0,39,14,70,161,111,205,48,19,19,7,93,143,430,223,248,369,400,241,450,260,489,192,425,441,440,856,412,1316,730,497,226,226,74,14,169,,27,,209,43,28,105,171,275,213,6,14,11,168,3,9,24,21,15,11,15,5,13,6,21,17,45,18,50,7,12171
Armas (Guatemala)*,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,181,47,70,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,916
